,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,"Estimated enrollment, total","Estimated enrollment, full time","Estimated enrollment, part time","Estimated undergraduate enrollment, total","Estimated undergraduate enrollment, full time","Estimated undergraduate enrollment, part time","Estimated freshman undergraduate enrollment, total","Estimated freshman enrollment, full time","Estimated freshman enrollment, part time","Estimated graduate enrollment, total","Estimated graduate enrollment, full time","Estimated graduate enrollment, part time",Number of students receiving an Associate's degree,Percent admitted - total,Admissions yield - total,"Tuition and fees, 2010-11","Tuition and fees, 2011-12","Tuition and fees, 2012-13","Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,FIPS state code,Geographic region,Sector of institution,Level of institution,Control of institution,Historically Black College or University,Tribal college,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of total enrollment that are American Indian or Alaska Native,Percent of total enrollment that are Asian,Percent of total enrollment that are Black or African American,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,Percent of total enrollment that are White,Percent of total enrollment that are two or more races,Percent of total enrollment that are Race/ethnicity unknown,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of total enrollment that are women,Percent of undergraduate enrollment that are American Indian or Alaska Native,Percent of undergraduate enrollment that are Asian,Percent of undergraduate enrollment that are Black or African American,Percent of undergraduate enrollment that are Hispanic/Latino,Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of undergraduate enrollment that are White,Percent of undergraduate enrollment that are two or more races,Percent of undergraduate enrollment that are Race/ethnicity unknown,Percent of undergraduate enrollment that are Nonresident Alien,Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of undergraduate enrollment that are women,Percent of graduate enrollment that are American Indian or Alaska Native,Percent of graduate enrollment that are Asian,Percent of graduate enrollment that are Black or African American,Percent of graduate enrollment that are Hispanic/Latino,Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of graduate enrollment that are White,Percent of graduate enrollment that are two or more races,Percent of graduate enrollment that are Race/ethnicity unknown,Percent of graduate enrollment that are Nonresident Alien,Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of graduate enrollment that are women,Number of first-time undergraduates - in-state,Percent of first-time undergraduates - in-state,Number of first-time undergraduates - out-of-state,Percent of first-time undergraduates - out-of-state,Number of first-time undergraduates - foreign countries,Percent of first-time undergraduates - foreign countries,Number of first-time undergraduates - residence unknown,Percent of first-time undergraduates - residence unknown,"Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 5 years, total","Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,Endowment assets (year end) per FTE enrollment (GASB),Endowment assets (year end) per FTE enrollment (FASB)
10,Concordia College Alabama,,,,,,,,,,,,,,600.0,543.0,57.0,600.0,543.0,57.0,147.0,146.0,1.0,0.0,0.0,0.0,39.0,,,7370.0,8090.0,8090.0,8090.0,18330.0,18330.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,Town: Distant,Baccalaureate Colleges--Diverse Fields,600.0,543.0,57.0,600.0,0.0,543.0,57.0,0.0,0.0,95.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,42.0,0.0,0.0,95.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,42.0,,,,,,,,,,,,71.0,48.0,73.0,49.0,0.0,0.0,5.0,3.0,10.0,14.0,14.0,100.0,100.0,100.0,84.0,16.0,83.0,67.0,100.0,100.0,0.0,,
11,Faulkner University,,,,,,,,,,,,,,3127.0,2273.0,854.0,2546.0,1749.0,797.0,295.0,287.0,8.0,581.0,524.0,57.0,10.0,,,14810.0,15880.0,17380.0,18230.0,31010.0,31010.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Baccalaureate Colleges--Diverse Fields,3193.0,2321.0,872.0,2617.0,576.0,1803.0,814.0,1.0,1.0,46.0,2.0,0.0,46.0,1.0,2.0,1.0,1.0,62.0,1.0,1.0,48.0,2.0,0.0,44.0,1.0,2.0,2.0,1.0,63.0,1.0,1.0,37.0,1.0,0.0,57.0,1.0,2.0,0.0,1.0,58.0,200.0,67.0,89.0,30.0,9.0,3.0,0.0,0.0,11.0,21.0,23.0,99.0,99.0,57.0,57.0,34.0,64.0,91.0,79.0,79.0,3.0,,5494.0
12,Huntingdon College,1470.0,923.0,261.0,16.0,93.0,420.0,500.0,420.0,540.0,,,19.0,24.0,1100.0,898.0,202.0,1100.0,898.0,202.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,63.0,28.0,20990.0,21990.0,22500.0,23500.0,33885.0,33885.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Baccalaureate Colleges--Diverse Fields,1110.0,902.0,208.0,1110.0,0.0,902.0,208.0,1.0,1.0,19.0,2.0,0.0,58.0,3.0,16.0,0.0,1.0,50.0,1.0,1.0,19.0,2.0,0.0,58.0,3.0,16.0,0.0,1.0,50.0,,,,,,,,,,,,189.0,72.0,71.0,27.0,1.0,0.0,0.0,0.0,30.0,40.0,43.0,100.0,100.0,48.0,48.0,16.0,53.0,99.0,78.0,77.0,10.0,,41486.0
13,Jacksonville State University,3083.0,2567.0,1158.0,18.0,89.0,430.0,540.0,420.0,540.0,,,19.0,26.0,8693.0,5982.0,2711.0,7588.0,5779.0,1809.0,1158.0,1142.0,16.0,1105.0,203.0,902.0,0.0,83.0,45.0,5424.0,6120.0,6360.0,7092.0,21237.0,28029.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Master's Colleges and Universities (larger programs),8693.0,5982.0,2711.0,7588.0,1105.0,5779.0,1809.0,1.0,1.0,25.0,1.0,0.0,66.0,0.0,3.0,2.0,1.0,58.0,1.0,1.0,25.0,1.0,0.0,66.0,0.0,4.0,2.0,1.0,58.0,1.0,1.0,24.0,0.0,0.0,67.0,0.0,2.0,4.0,1.0,62.0,875.0,76.0,276.0,24.0,7.0,1.0,0.0,0.0,10.0,25.0,31.0,93.0,83.0,48.0,48.0,11.0,21.0,55.0,57.0,56.0,2.0,1488.0,
14,Judson College,268.0,198.0,68.0,10.0,94.0,550.0,640.0,500.0,600.0,530.0,610.0,19.0,24.0,348.0,263.0,85.0,348.0,263.0,85.0,69.0,68.0,1.0,,,,20.0,74.0,34.0,13900.0,14460.0,15100.0,15630.0,28840.0,28840.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Rural: Remote,Baccalaureate Colleges--Arts & Sciences,347.0,262.0,85.0,347.0,0.0,262.0,85.0,0.0,1.0,14.0,1.0,0.0,80.0,1.0,2.0,1.0,1.0,95.0,0.0,1.0,14.0,1.0,0.0,80.0,1.0,2.0,1.0,1.0,95.0,,,,,,,,,,,,59.0,88.0,8.0,12.0,0.0,0.0,0.0,0.0,38.0,41.0,41.0,100.0,100.0,82.0,64.0,18.0,84.0,100.0,83.0,83.0,12.0,,44004.0
15,University of West Alabama,462.0,460.0,380.0,0.0,100.0,,,,,,,18.0,22.0,3998.0,3490.0,508.0,1948.0,1670.0,278.0,380.0,371.0,9.0,2050.0,1820.0,230.0,53.0,100.0,83.0,6524.0,6918.0,7320.0,7660.0,18162.0,24672.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,Rural: Remote,Master's Colleges and Universities (larger programs),4427.0,3890.0,537.0,1999.0,2428.0,1696.0,303.0,1.0,1.0,49.0,1.0,0.0,41.0,1.0,4.0,2.0,1.0,72.0,0.0,1.0,42.0,2.0,0.0,43.0,1.0,6.0,5.0,1.0,57.0,1.0,0.0,55.0,1.0,0.0,39.0,1.0,3.0,0.0,0.0,85.0,,,,,,,,,18.0,28.0,30.0,95.0,89.0,74.0,59.0,16.0,2.0,56.0,81.0,74.0,8.0,97.0,
16,Miles College,,,,,,,,,,,,,,1677.0,1592.0,85.0,1677.0,1592.0,85.0,418.0,416.0,2.0,,,,0.0,,,9896.0,10490.0,11014.0,11454.0,22318.0,22318.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1666.0,1577.0,89.0,1666.0,0.0,1577.0,89.0,0.0,0.0,97.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,97.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,48.0,,,,,,,,,,,,,,,,,,,,6.0,16.0,22.0,99.0,98.0,88.0,88.0,26.0,10.0,34.0,90.0,90.0,2.0,,10086.0
17,University of Mobile,866.0,617.0,259.0,13.0,87.0,470.0,610.0,470.0,680.0,,,20.0,25.0,1610.0,1288.0,322.0,1481.0,1257.0,224.0,259.0,258.0,1.0,129.0,31.0,98.0,13.0,71.0,42.0,16120.0,17220.0,18080.0,18690.0,32570.0,32570.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1610.0,1288.0,322.0,1481.0,129.0,1257.0,224.0,2.0,1.0,24.0,1.0,0.0,63.0,2.0,5.0,3.0,1.0,68.0,2.0,1.0,22.0,1.0,0.0,65.0,2.0,5.0,3.0,1.0,67.0,1.0,1.0,50.0,1.0,0.0,42.0,0.0,2.0,4.0,1.0,81.0,,,,,,,,,33.0,47.0,49.0,93.0,93.0,34.0,34.0,7.0,44.0,92.0,59.0,58.0,4.0,,14086.0
18,University of Montevallo,1385.0,1209.0,531.0,3.0,96.0,495.0,613.0,465.0,550.0,440.0,580.0,20.0,26.0,3066.0,2526.0,540.0,2620.0,2350.0,270.0,531.0,519.0,12.0,446.0,176.0,270.0,0.0,87.0,44.0,7750.0,8520.0,9280.0,10000.0,23340.0,33030.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Master's Colleges and Universities (medium programs),3062.0,2526.0,536.0,2618.0,444.0,2350.0,268.0,1.0,1.0,15.0,2.0,0.0,73.0,2.0,5.0,1.0,1.0,67.0,1.0,1.0,14.0,2.0,0.0,74.0,2.0,6.0,1.0,1.0,66.0,0.0,0.0,20.0,1.0,0.0,73.0,1.0,4.0,0.0,1.0,75.0,497.0,94.0,27.0,5.0,0.0,0.0,7.0,1.0,24.0,39.0,45.0,88.0,80.0,38.0,38.0,5.0,1.0,63.0,55.0,55.0,3.0,5870.0,
19,University of North Alabama,2542.0,2057.0,970.0,3.0,96.0,413.0,565.0,433.0,530.0,,,19.0,25.0,6931.0,5133.0,1798.0,5993.0,4852.0,1141.0,970.0,953.0,17.0,938.0,281.0,657.0,0.0,81.0,47.0,5426.0,6084.0,6528.0,7078.0,16933.0,22525.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Master's Colleges and Universities (larger programs),6931.0,5133.0,1798.0,5881.0,1050.0,4795.0,1086.0,1.0,1.0,13.0,2.0,0.0,72.0,2.0,4.0,5.0,1.0,58.0,1.0,0.0,13.0,2.0,0.0,72.0,2.0,4.0,5.0,1.0,57.0,1.0,7.0,11.0,1.0,0.0,72.0,1.0,1.0,6.0,7.0,61.0,822.0,85.0,135.0,14.0,0.0,0.0,13.0,1.0,12.0,27.0,32.0,82.0,68.0,54.0,53.0,19.0,2.0,40.0,70.0,70.0,2.0,4290.0,
20,Oakwood University,2728.0,937.0,409.0,47.0,58.0,410.0,513.0,400.0,510.0,,,17.0,22.0,1905.0,1805.0,100.0,1855.0,1765.0,90.0,360.0,360.0,0.0,50.0,40.0,10.0,2.0,34.0,44.0,14250.0,14678.0,15414.0,16234.0,36295.0,36295.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,City: Midsize,Baccalaureate Colleges--Diverse Fields,1903.0,1810.0,93.0,1861.0,42.0,1771.0,90.0,0.0,0.0,84.0,3.0,0.0,1.0,1.0,3.0,8.0,0.0,58.0,0.0,0.0,85.0,2.0,0.0,1.0,0.0,3.0,8.0,0.0,57.0,0.0,0.0,36.0,10.0,14.0,7.0,31.0,2.0,0.0,14.0,62.0,,,,,,,,,19.0,31.0,37.0,94.0,91.0,53.0,53.0,12.0,1.0,82.0,73.0,72.0,12.0,,5665.0
21,Samford University,3447.0,2653.0,765.0,36.0,84.0,500.0,630.0,510.0,610.0,500.0,610.0,23.0,28.0,4833.0,4361.0,472.0,3013.0,2850.0,163.0,765.0,755.0,10.0,1820.0,1511.0,309.0,3.0,77.0,29.0,21942.0,23963.0,25150.0,26328.0,40900.0,40900.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Large,Master's Colleges and Universities (medium programs),4833.0,4361.0,472.0,3013.0,1820.0,2850.0,163.0,0.0,2.0,7.0,5.0,0.0,81.0,1.0,1.0,4.0,2.0,62.0,0.0,1.0,7.0,7.0,0.0,81.0,1.0,0.0,3.0,1.0,65.0,0.0,3.0,8.0,2.0,0.0,81.0,1.0,2.0,4.0,3.0,57.0,,,,,,,,,49.0,64.0,69.0,98.0,98.0,14.0,14.0,10.0,23.0,97.0,40.0,39.0,4.0,,60561.0
22,University of South Alabama,4814.0,4142.0,1878.0,8.0,92.0,440.0,550.0,435.0,565.0,420.0,520.0,20.0,26.0,15065.0,12028.0,3037.0,11307.0,8767.0,2540.0,1878.0,1834.0,44.0,3758.0,3261.0,497.0,0.0,86.0,45.0,5748.0,6204.0,6660.0,6948.0,19980.0,26628.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Research Universities (high research activity),15065.0,12028.0,3037.0,11307.0,3758.0,8767.0,2540.0,1.0,3.0,20.0,2.0,0.0,66.0,2.0,2.0,3.0,4.0,61.0,1.0,3.0,22.0,2.0,0.0,64.0,2.0,2.0,3.0,4.0,57.0,1.0,3.0,13.0,2.0,0.0,74.0,1.0,2.0,3.0,4.0,76.0,1481.0,79.0,373.0,20.0,24.0,1.0,0.0,0.0,14.0,27.0,33.0,91.0,80.0,45.0,43.0,17.0,5.0,54.0,63.0,63.0,3.0,11350.0,
23,Spring Hill College,6596.0,3052.0,431.0,20.0,92.0,480.0,600.0,480.0,600.0,480.0,610.0,21.0,27.0,1449.0,1231.0,218.0,1319.0,1226.0,93.0,431.0,431.0,0.0,130.0,5.0,125.0,0.0,46.0,14.0,26730.0,28060.0,29450.0,30924.0,46170.0,46170.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Master's Colleges and Universities (smaller programs),1422.0,1210.0,212.0,1292.0,130.0,1205.0,87.0,1.0,1.0,16.0,8.0,0.0,68.0,2.0,3.0,1.0,1.0,60.0,1.0,1.0,16.0,9.0,0.0,67.0,2.0,4.0,1.0,1.0,60.0,0.0,1.0,19.0,2.0,1.0,77.0,0.0,0.0,0.0,2.0,67.0,,,,,,,,,47.0,55.0,56.0,100.0,100.0,34.0,33.0,32.0,27.0,100.0,64.0,63.0,3.0,,15871.0
24,Stillman College,4121.0,1772.0,257.0,6.0,59.0,350.0,450.0,383.0,438.0,,,17.0,20.0,862.0,807.0,55.0,862.0,807.0,55.0,257.0,237.0,20.0,,,,0.0,43.0,15.0,14464.0,15062.0,15665.0,15901.0,26877.0,26877.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,City: Small,Baccalaureate Colleges--Arts & Sciences,863.0,808.0,55.0,863.0,0.0,808.0,55.0,0.0,0.0,92.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,92.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,17.0,23.0,26.0,100.0,100.0,74.0,74.0,41.0,34.0,87.0,78.0,78.0,2.0,,19434.0
25,Talladega College,,,,,,,,,,,,,,932.0,787.0,145.0,932.0,787.0,145.0,422.0,317.0,105.0,,,,0.0,,,11111.0,11143.0,11492.0,11492.0,21296.0,21296.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,Town: Distant,Baccalaureate Colleges--Arts & Sciences,932.0,849.0,83.0,932.0,0.0,849.0,83.0,0.0,0.0,89.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,53.0,0.0,0.0,89.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,53.0,,,,,,,,,,,,,,,,,,,,82.0,82.0,82.0,98.0,98.0,98.0,98.0,42.0,12.0,63.0,97.0,97.0,6.0,,6100.0
26,Troy University,5946.0,4056.0,2087.0,7.0,38.0,,,,,,,18.0,24.0,21098.0,12292.0,8806.0,16755.0,10931.0,5824.0,2017.0,1780.0,237.0,4343.0,1361.0,2982.0,494.0,68.0,51.0,5860.0,6412.0,6844.0,7276.0,18228.0,24564.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,Rural: Fringe,Master's Colleges and Universities (larger programs),20573.0,10334.0,10239.0,16316.0,4257.0,9141.0,7175.0,1.0,1.0,38.0,3.0,0.0,47.0,2.0,5.0,3.0,1.0,64.0,1.0,1.0,37.0,3.0,0.0,49.0,2.0,5.0,3.0,1.0,62.0,1.0,1.0,44.0,4.0,0.0,41.0,2.0,3.0,4.0,1.0,70.0,1535.0,72.0,549.0,26.0,35.0,2.0,2.0,0.0,13.0,29.0,36.0,78.0,73.0,48.0,48.0,7.0,1.0,38.0,75.0,75.0,3.0,33.0,
27,Tuskegee University,10022.0,3519.0,650.0,43.0,75.0,400.0,510.0,400.0,520.0,,,18.0,22.0,3065.0,2950.0,115.0,2575.0,2500.0,75.0,626.0,625.0,1.0,490.0,450.0,40.0,0.0,35.0,18.0,16750.0,17870.0,18900.0,18900.0,32853.0,32853.0,Alabama,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,Town: Distant,Baccalaureate Colleges--Diverse Fields,3118.0,2954.0,164.0,2584.0,534.0,2468.0,116.0,0.0,1.0,76.0,1.0,0.0,2.0,0.0,20.0,1.0,1.0,60.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,58.0,1.0,3.0,66.0,5.0,0.0,9.0,0.0,13.0,2.0,3.0,69.0,217.0,33.0,424.0,64.0,3.0,0.0,15.0,2.0,17.0,36.0,44.0,96.0,73.0,54.0,54.0,6.0,0.0,22.0,61.0,59.0,7.0,,37366.0
28,University of Alaska Anchorage,,,,,,,,,,,,,,17363.0,7904.0,9459.0,16380.0,7679.0,8701.0,1965.0,1411.0,554.0,983.0,225.0,758.0,838.0,,,5186.0,5396.0,5726.0,5147.0,18620.0,28679.0,Alaska,Alaska,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),17363.0,7904.0,9459.0,16380.0,983.0,7679.0,8701.0,6.0,6.0,3.0,7.0,1.0,59.0,9.0,6.0,2.0,7.0,59.0,6.0,7.0,4.0,7.0,1.0,58.0,9.0,6.0,2.0,8.0,59.0,5.0,3.0,2.0,5.0,0.0,72.0,4.0,3.0,3.0,4.0,67.0,1856.0,94.0,83.0,4.0,25.0,1.0,1.0,0.0,9.0,19.0,28.0,81.0,70.0,32.0,32.0,6.0,47.0,39.0,32.0,32.0,2.0,4018.0,
29,University of Alaska Fairbanks,,,,,,,,,,,,,,9166.0,4283.0,4883.0,7989.0,3654.0,4335.0,981.0,775.0,206.0,1177.0,629.0,548.0,278.0,,,5358.0,5568.0,5898.0,4984.0,16484.0,27060.0,Alaska,Alaska,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Small,Research Universities (high research activity),9166.0,4283.0,4883.0,7989.0,1177.0,3654.0,4335.0,14.0,2.0,2.0,4.0,0.0,47.0,4.0,24.0,3.0,2.0,58.0,15.0,1.0,2.0,5.0,0.0,46.0,4.0,25.0,2.0,2.0,57.0,6.0,2.0,1.0,3.0,0.0,55.0,4.0,18.0,12.0,2.0,59.0,890.0,91.0,80.0,8.0,9.0,1.0,2.0,0.0,14.0,32.0,37.0,83.0,73.0,27.0,27.0,6.0,52.0,38.0,35.0,34.0,2.0,12346.0,
30,University of Alaska Southeast,,,,,,,,,,,,,,2996.0,889.0,2107.0,2645.0,821.0,1824.0,228.0,159.0,69.0,351.0,68.0,283.0,102.0,,,5130.0,5380.0,5740.0,5693.0,18657.0,29233.0,Alaska,Alaska,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Town: Remote,Master's Colleges and Universities (smaller programs),2996.0,889.0,2107.0,2645.0,351.0,821.0,1824.0,13.0,2.0,1.0,4.0,1.0,53.0,6.0,19.0,1.0,3.0,65.0,13.0,2.0,1.0,4.0,1.0,52.0,6.0,19.0,1.0,4.0,64.0,11.0,0.0,2.0,5.0,0.0,57.0,6.0,17.0,2.0,1.0,73.0,214.0,94.0,13.0,6.0,0.0,0.0,1.0,0.0,4.0,10.0,12.0,79.0,70.0,34.0,33.0,5.0,43.0,50.0,32.0,30.0,3.0,2108.0,
31,Alaska Pacific University,494.0,185.0,33.0,74.0,26.0,465.0,575.0,450.0,510.0,435.0,568.0,20.0,24.0,603.0,392.0,211.0,367.0,245.0,122.0,33.0,31.0,2.0,236.0,147.0,89.0,6.0,37.0,18.0,26360.0,27110.0,29810.0,29810.0,43180.0,43180.0,Alaska,Alaska,Far West AK CA HI NV OR WA,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Master's Colleges and Universities (smaller programs),669.0,323.0,346.0,387.0,282.0,245.0,142.0,13.0,1.0,2.0,3.0,0.0,53.0,8.0,20.0,0.0,2.0,65.0,16.0,2.0,3.0,3.0,1.0,56.0,11.0,10.0,0.0,2.0,66.0,8.0,1.0,1.0,2.0,0.0,50.0,4.0,33.0,1.0,1.0,63.0,,,,,,,,,25.0,33.0,40.0,100.0,100.0,42.0,42.0,15.0,15.0,100.0,58.0,58.0,4.0,,192792.0
32,American Indian College of the Assemblies of God Inc,,,,,,,,,,,,,,80.0,68.0,12.0,80.0,68.0,12.0,16.0,16.0,0.0,,,,2.0,,,9750.0,10500.0,11700.0,12000.0,23342.0,23342.0,Arizona,Arizona,Southwest AZ NM OK TX,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Baccalaureate Colleges--Diverse Fields,79.0,68.0,11.0,79.0,0.0,68.0,11.0,56.0,0.0,11.0,19.0,6.0,8.0,0.0,0.0,0.0,6.0,57.0,56.0,0.0,11.0,19.0,6.0,8.0,0.0,0.0,0.0,6.0,57.0,,,,,,,,,,,,,,,,,,,,25.0,50.0,50.0,100.0,100.0,100.0,100.0,13.0,38.0,63.0,75.0,75.0,0.0,,1665.0
33,Arizona State University-Tempe,21770.0,17465.0,7171.0,64.0,51.0,500.0,620.0,520.0,650.0,,,22.0,28.0,48702.0,42498.0,6204.0,38730.0,34989.0,3741.0,7171.0,7114.0,57.0,9972.0,7509.0,2463.0,0.0,80.0,41.0,8132.0,9720.0,9724.0,9861.0,23837.0,37630.0,Arizona,Arizona,Southwest AZ NM OK TX,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Research Universities (very high research activity),48702.0,42498.0,6204.0,38730.0,9972.0,34989.0,3741.0,1.0,6.0,4.0,16.0,0.0,56.0,3.0,1.0,12.0,7.0,43.0,1.0,7.0,4.0,18.0,0.0,57.0,4.0,1.0,7.0,7.0,44.0,1.0,5.0,2.0,8.0,0.0,49.0,2.0,1.0,32.0,5.0,40.0,4165.0,58.0,2271.0,32.0,729.0,10.0,6.0,0.0,38.0,55.0,59.0,91.0,87.0,30.0,29.0,8.0,1.0,85.0,42.0,41.0,3.0,8058.0,
34,University of Arizona,26329.0,20251.0,7401.0,66.0,52.0,483.0,600.0,500.0,630.0,480.0,590.0,21.0,27.0,40621.0,35497.0,5124.0,31670.0,28510.0,3160.0,6881.0,6381.0,500.0,8951.0,6987.0,1964.0,0.0,77.0,37.0,8237.0,10035.0,10035.0,10391.0,25179.0,42171.0,Arizona,Arizona,Southwest AZ NM OK TX,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (very high research activity),40621.0,35388.0,5233.0,31670.0,8951.0,28401.0,3269.0,1.0,6.0,3.0,21.0,0.0,54.0,4.0,3.0,8.0,6.0,52.0,1.0,6.0,3.0,24.0,0.0,55.0,4.0,1.0,6.0,6.0,52.0,2.0,6.0,2.0,11.0,0.0,51.0,2.0,9.0,17.0,6.0,51.0,4334.0,63.0,2351.0,34.0,0.0,0.0,196.0,3.0,40.0,58.0,61.0,83.0,75.0,30.0,30.0,0.0,0.0,72.0,37.0,36.0,3.0,15972.0,
35,Embry-Riddle Aeronautical University-Prescott,1689.0,1334.0,448.0,71.0,53.0,500.0,630.0,540.0,650.0,490.0,600.0,23.0,29.0,1855.0,1720.0,135.0,1813.0,1687.0,126.0,448.0,443.0,5.0,42.0,33.0,9.0,0.0,79.0,34.0,29428.0,29552.0,30420.0,31034.0,46314.0,46314.0,Arizona,Arizona,Southwest AZ NM OK TX,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1921.0,1786.0,135.0,1879.0,42.0,1753.0,126.0,1.0,8.0,2.0,7.0,1.0,58.0,7.0,8.0,8.0,9.0,21.0,1.0,8.0,2.0,7.0,1.0,58.0,7.0,8.0,8.0,9.0,21.0,0.0,2.0,2.0,14.0,0.0,36.0,2.0,24.0,19.0,2.0,24.0,71.0,16.0,345.0,77.0,27.0,6.0,5.0,1.0,37.0,56.0,59.0,91.0,90.0,20.0,20.0,0.0,0.0,90.0,61.0,60.0,16.0,,11293.0
